chan_name,mea_formatted_name,og_amplifier_pin,chan_type,ntv_chan_idx,ntv_chan_name,sys_chan_idx,site_shape,port,absolute_idx,scs_to_tcs_y,site_lim_x_min,site_lim_z_max,site_ctr_y,headstage_id,site_ctr_z,site_ctr_x,site_ctr_tcs_x,site_lim_x_max,probe_id,site_ctr_tcs_y,site_num,sensor_units,scs_to_tcs_z,is_audio,is_audio_left,is_audio_right,is_selected,site_lim_y_min,site_lim_y_max,scs_to_tcs_x,site_lim_z_min,dsrc_uid,sensor_uid,site_ctr_tcs_z,color_grp_idx
pri_19,E20,pri_6,ai0,19,port_A_19,19,circle,A,22,0,308.114,0,-211.99961,hstg__passthrough_32,0,333.11361,0,358.114,probe__eeg_mouse_1x30,0,20,uV,0,0,0,0,1,-187,-237,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
pri_20,E21,pri_4,ai0,20,port_A_20,20,circle,A,23,0,308.114,0,-349.99961,hstg__passthrough_32,0,333.11361,0,358.114,probe__eeg_mouse_1x30,0,21,uV,0,0,0,0,1,-325,-375,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
pri_21,E22,pri_2,ai0,21,port_A_21,21,circle,A,19,0,456.114,0,-111.99961,hstg__passthrough_32,0,481.11361,0,506.114,probe__eeg_mouse_1x30,0,22,uV,0,0,0,0,1,-87,-137,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,5
pri_22,E23,pri_0,ai0,22,port_A_22,22,circle,A,24,0,456.114,0,-287.99961,hstg__passthrough_32,0,481.11361,0,506.114,probe__eeg_mouse_1x30,0,23,uV,0,0,0,0,1,-263,-313,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
pri_23,E24,pri_15,ai0,23,port_A_23,23,circle,A,25,0,456.114,0,-404.99961,hstg__passthrough_32,0,481.11361,0,506.114,probe__eeg_mouse_1x30,0,24,uV,0,0,0,0,1,-380,-430,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
pri_24,E25,pri_13,ai0,24,port_A_24,24,circle,A,20,0,564.114,0,-112.99961,hstg__passthrough_32,0,589.11361,0,614.114,probe__eeg_mouse_1x30,0,25,uV,0,0,0,0,1,-88,-138,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,5
pri_25,E26,pri_11,ai0,25,port_A_25,25,circle,A,26,0,564.114,0,-287.99961,hstg__passthrough_32,0,589.11361,0,614.114,probe__eeg_mouse_1x30,0,26,uV,0,0,0,0,1,-263,-313,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
pri_26,E27,pri_9,ai0,26,port_A_26,26,circle,A,27,0,564.114,0,-412.99961,hstg__passthrough_32,0,589.11361,0,614.114,probe__eeg_mouse_1x30,0,27,uV,0,0,0,0,1,-388,-438,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
pri_27,E28,pri_7,ai0,27,port_A_27,27,circle,A,21,0,674.114,0,-99.99961,hstg__passthrough_32,0,699.11361,0,724.114,probe__eeg_mouse_1x30,0,28,uV,0,0,0,0,1,-75,-125,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,5
pri_28,E29,pri_5,ai0,28,port_A_28,28,circle,A,28,0,674.114,0,-223.99961,hstg__passthrough_32,0,699.11361,0,724.114,probe__eeg_mouse_1x30,0,29,uV,0,0,0,0,1,-199,-249,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
pri_29,E30,pri_3,ai0,29,port_A_29,29,circle,A,29,0,674.114,0,-404.99961,hstg__passthrough_32,0,699.11361,0,724.114,probe__eeg_mouse_1x30,0,30,uV,0,0,0,0,1,-380,-430,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,6
